Formula,Stearic_Acid_%,Beeswax_%,Liquid_Paraffin_%,Lanolin_%,Triethanolamine_%,Sorbitol_%,Disodium_EDTA_%,Methylparaben_%,Propylene_Glycol_%,Propylparaben_%,Tween_80_%,Water_%,Perfume_%,Viscosity_cps,pH,Spreadability_cm,Washability_sec,HLB,Stability,Data_Source,Evidence_DOI
F0013,11.1968,3.3018,23.0754,2.6611,1.5453,1.5453,1.4946,0.0382,3.5507,0.0183,1.4753,49.1497,0.9475,2466.9,6.29,8.69,8.2,11.6,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0014,13.5092,1.9682,20.4518,2.9502,1.6972,1.7843,1.8267,0.0376,4.1315,0.0173,1.9111,48.8929,0.822,2519.4,5.99,8.19,7.3,11.95,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0015,15.7688,2.1365,19.8354,3.0528,1.7534,2.2884,1.8906,0.0427,3.846,0.0205,2.0667,46.1356,1.1626,2549.5,5.94,8.43,6.7,12.12,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0016,12.573,3.5306,23.0173,2.8955,2.0926,1.8435,2.2534,0.036,4.7357,0.0223,1.8793,43.9899,1.1308,2242.1,6.17,8.53,8.4,11.71,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0017,15.2714,2.4565,19.8478,2.3553,1.7043,1.712,1.9312,0.0376,4.0332,0.0179,1.6006,48.0582,0.974,2706.9,6.91,9.1,9.5,12.09,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0018,14.1748,0.725,20.3794,2.7232,2.1989,1.9948,2.1179,0.0474,3.9071,0.0206,2.2744,48.5143,0.9222,2197.6,6.03,7.98,7.3,12.13,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0019,13.9344,1.0469,24.3507,2.5745,1.8527,1.8978,1.6037,0.03,3.1157,0.0166,1.8581,46.9963,0.7227,2961.8,5.85,8.78,9.1,11.94,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0020,12.5743,3.7679,21.6603,2.9868,2.1007,1.8991,2.2603,0.0451,3.6652,0.0198,1.8618,46.3063,0.8525,2353.9,6.37,8.33,8.4,11.72,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0021,10.1891,2.0673,27.2349,2.5272,1.9204,1.9695,1.6824,0.039,3.5074,0.019,1.8993,46.1435,0.8008,2516.4,6.41,8.8,10.5,11.54,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0022,9.6452,2.2285,19.7211,2.98,1.7178,2.0128,1.8391,0.0431,3.3935,0.0181,1.683,53.6582,1.0596,1716.9,6.17,8.12,8.8,11.63,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0023,13.4108,1.3397,18.0075,3.1626,2.1102,1.9591,1.7929,0.036,4.0232,0.0211,2.1027,51.0521,0.9821,2409.3,6.03,8.27,6.6,12.07,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0024,15.612,2.8306,20.7936,3.2067,1.8515,1.9046,2.1585,0.042,4.4409,0.021,2.0511,44.1223,0.9651,2513.4,6.26,8.31,8.4,12.01,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0025,15.8006,2.5318,25.3912,2.7683,1.8866,1.84,1.6755,0.0393,3.4456,0.0158,1.9246,41.6367,1.0439,3011.3,6.17,9.3,11.9,11.93,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0026,13.2166,3.5301,22.0294,2.7306,2.0552,2.2852,2.1396,0.0413,3.5531,0.0209,2.3178,45.0643,1.0159,2337.1,6.56,8.43,9.5,11.83,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0027,11.2913,1.4015,24.3017,2.8755,1.947,1.9713,1.7598,0.0351,3.8216,0.0183,1.8601,47.7372,0.9795,2554.7,6.02,8.64,8.1,11.71,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0028,9.6908,2.0564,23.09,2.645,1.9353,1.6186,1.6225,0.0413,3.61,0.0167,1.8966,50.9149,0.8617,2032.8,6.1,8.16,6.8,11.6,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0029,12.2383,2.3641,22.8216,2.9289,1.717,1.6179,1.86,0.0318,3.3547,0.0149,1.4653,48.645,0.9404,2856.9,6.16,8.78,9.1,11.73,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0030,11.3836,2.3402,25.2059,2.9822,1.7717,2.1558,2.0323,0.0386,3.9211,0.0185,1.7534,45.3748,1.0218,2492,5.97,8.79,9.4,11.62,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0031,12.9545,2.0546,18.6684,2.734,1.8029,1.9242,1.9349,0.0321,3.5792,0.0193,1.8613,51.4606,0.974,2403.8,6.26,8.24,7.9,11.98,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0032,14.2353,1.8713,25.0706,2.8877,1.9762,2.2077,1.8829,0.0444,4.3732,0.0177,1.6977,42.9013,0.8339,2705.2,6.03,8.95,9.5,11.85,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0033,15.7456,0.6381,26.0942,2.6341,1.6638,1.99,1.9517,0.0418,4.0231,0.0205,1.7562,42.4307,1.0102,2759.1,5.69,8.92,11.1,12.02,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0034,15.9509,3.217,21.164,2.9493,1.9682,1.6109,2.0494,0.0366,4.0154,0.0173,2.0456,44.1952,0.7801,2722.2,6.47,9.01,10.9,12.02,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0035,14.3369,2.0234,20.4926,2.7101,2.0032,2.0489,2.0713,0.0414,3.3421,0.019,1.6518,48.3236,0.9356,2619.9,6.24,8.47,9.9,12.01,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0036,9.9006,0.8115,24.1921,2.3957,2.0088,1.9453,1.6018,0.0321,4.1988,0.0176,1.7608,50.0959,1.0389,2197.9,5.93,8.39,9.8,11.68,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0037,13.0088,3.5758,18.7787,2.9073,1.6578,1.9243,1.684,0.0344,3.4393,0.0203,2.0859,49.7776,1.1059,2156.7,6.34,7.84,7,11.88,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0038,15.2298,0.5516,25.4939,2.2268,1.9222,1.7346,1.9747,0.03,3.4962,0.0196,1.7322,44.6775,0.9107,2861.3,5.96,10.05,13.6,12.04,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0039,10.2147,1.5329,28.9826,3.3031,1.945,2.0423,1.8396,0.0357,3.8996,0.0188,2.0207,43.0388,1.1259,2312.9,6.08,8.37,9.2,11.49,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0040,10.4749,3.4269,25.8334,3.156,1.9794,1.9169,1.8083,0.0419,4.1148,0.016,1.5904,44.6278,1.0133,2340.9,6.32,8.37,9.5,11.45,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0041,13.6699,1.5699,19.1692,3.4161,2.2455,2.3605,2.3586,0.0417,4.4368,0.0233,2.2681,47.4293,1.0112,2278.4,6.21,7.79,8,12.02,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0042,12.768,0.9786,25.8617,2.9954,2.147,1.9969,2.1946,0.0403,4.0423,0.0221,1.9274,44.1735,0.8521,2605.7,5.7,8.87,10.5,11.79,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0043,10.8604,0.6359,21.7453,3.0169,1.8951,1.9217,2.1959,0.0374,3.9333,0.0213,1.8976,50.7536,1.0857,2083.1,5.79,8.18,5.8,11.79,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0044,17.4138,2.2205,21.4204,3.0455,1.8,1.7038,1.7348,0.0347,3.4966,0.0174,2.0347,44.1469,0.9309,2739.4,6.01,8.86,10.2,12.15,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0045,11.5541,0.74,20.0547,2.8046,1.8087,1.7556,1.7748,0.0396,3.6526,0.0192,2.0048,52.9284,0.863,2082.8,6.02,8.14,6.8,11.93,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0046,14.9241,1.1458,19.1495,2.6919,1.8585,1.9334,1.7937,0.0369,4.0115,0.0161,1.7285,49.666,1.0443,2587.2,5.94,9.21,9.8,12.17,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0047,13.6245,1.3608,20.2834,2.7606,1.6356,1.8088,1.7453,0.0362,3.3856,0.0213,1.9644,50.3352,1.0383,2466.8,6.44,8.23,8.8,12.03,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0048,16.3188,2.1137,19.9656,2.8678,1.9605,2.134,2.0879,0.0391,4.6858,0.0211,1.8833,45.0065,0.9158,2497.4,6.02,8.3,7,12.15,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0049,11.7261,3.7577,19.5275,3.1121,2.0042,2.3576,1.8199,0.0399,4.6993,0.0229,2.2555,47.7494,0.9281,1855.8,6.75,8.02,8.9,11.74,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0050,12.6979,3.3366,21.0022,2.9476,2.0284,2.0796,1.9145,0.0367,4.2874,0.0194,2.1254,46.4926,1.0316,2122.6,6.13,7.98,6.6,11.8,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0051,9.6204,3.6312,20.023,3.0022,1.6964,1.9309,1.9742,0.0377,3.6312,0.0178,1.7482,51.6802,1.0064,1750,6.49,8.13,9.1,11.53,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0052,15.2595,0.9804,25.1154,2.4907,1.6397,1.64,1.9958,0.0383,3.6727,0.0175,2.0301,44.1215,0.9985,2811.8,5.54,8.84,9.3,12.03,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0053,15.5557,2.2478,20.2336,3.2702,1.879,1.9722,2.1842,0.0404,3.4461,0.022,2.0214,46.2593,0.8681,2667.6,6.36,8.67,9.2,12.06,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0054,16.3386,1.1177,21.7804,2.7787,2.1503,1.7233,2.0457,0.0432,4.4603,0.0191,2.1968,44.2401,1.106,2523.1,5.85,8.63,9.4,12.18,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0055,11.1768,2.886,25.1609,2.9534,1.9988,1.9131,1.7483,0.036,3.417,0.0212,1.9362,45.8186,0.9337,2535,6.2,8.72,9.3,11.59,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0056,14.2847,3.1715,20.8516,2.6732,1.8961,1.7874,1.5074,0.0344,3.4734,0.0164,1.8022,47.5529,0.9488,2774.5,6.5,8.83,10.8,11.93,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0057,14.9137,1.981,18.8895,2.8872,2.2089,1.724,1.9238,0.0393,4.0953,0.0228,1.9316,48.2985,1.0846,2386.9,5.89,7.9,6.6,12.11,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0058,11.5989,2.3322,23.4061,3.4289,1.949,2.0821,2.1136,0.0347,4.2653,0.0184,2.3141,45.4662,0.9904,2174.9,6.12,8.85,9.7,11.69,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0059,11.5933,3.6265,20.3111,2.7016,1.7093,1.9686,2.0239,0.0345,4.2988,0.0196,1.9998,48.75,0.9631,1987.9,6.42,7.82,6.2,11.73,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0060,17.1618,1.8259,20.7565,3.0571,1.9002,1.6755,1.7521,0.0416,4.0936,0.0168,1.7907,44.901,1.0272,2659,5.87,8.66,9.9,12.17,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0061,10.9421,1.4462,27.0293,3.3652,2.228,1.9646,2.1294,0.037,3.8027,0.0227,1.731,44.3771,0.9248,2345.4,5.72,8.21,6.8,11.57,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0062,11.9813,2.3958,19.4978,2.8596,1.788,1.8667,1.8027,0.0345,4.1705,0.0198,1.6395,51.0283,0.9155,2344.9,6.13,8.32,8,11.83,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0063,10.8743,2.1853,22.9148,2.4901,1.5964,1.97,2.0502,0.0361,3.2276,0.0167,1.5315,50.3147,0.7924,2456.6,6.52,8.26,8.6,11.67,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0064,16.3888,1.2823,17.8604,2.6332,2.2065,2.191,2.0276,0.0406,4.1352,0.0178,2.215,48.0511,0.9505,2427.7,6.09,8.25,7,12.34,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0065,9.9711,2.4789,19.5862,2.7123,1.7518,1.7893,1.9932,0.0351,3.8152,0.0186,1.9622,52.8858,1.0004,1808.4,6.18,8.15,6.8,11.69,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0066,12.9591,1.523,23.902,2.3208,1.5306,1.8743,1.7518,0.0371,3.4398,0.0162,1.9221,47.7947,0.9283,2733.3,5.89,9.18,10.5,11.89,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0067,14.5058,0.8912,24.5992,2.4692,1.5152,1.6943,1.8605,0.0358,3.6543,0.0175,1.7698,46.2135,0.7738,2958,6.04,9.19,10.9,11.99,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0068,10.7573,3.1117,22.5881,3.5419,2.3906,2.3737,2.0784,0.0464,4.6222,0.0198,2.3013,45.0911,1.0775,1794.7,6.27,7.94,6.3,11.59,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0069,13.555,3.2656,20.0189,3.02,2.1567,2.3173,2.0156,0.0442,4.7565,0.0221,1.9607,45.6834,1.1841,2142.4,6.52,8.19,6.9,11.88,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0070,12.517,2.1136,24.1808,3.16,2.1694,2.0468,1.8476,0.037,4.0586,0.0175,1.6729,45.2921,0.8867,2540.1,6.11,8.5,8.8,11.72,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0071,13.2462,2.949,20.8897,3.4497,2.2003,1.7767,1.9762,0.0451,4.5932,0.0201,2.0952,45.5963,1.1624,2390.1,5.96,8.5,8.7,11.82,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0072,11.6352,1.376,20.6327,3.3152,1.9474,1.7686,2.326,0.0455,4.6015,0.0234,1.8396,49.3903,1.0985,2063.2,5.86,7.85,7.2,11.81,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0073,10.6532,2.1917,22.6927,2.7757,1.5856,2.0117,1.68,0.0321,4.0357,0.0205,2.0034,49.3719,0.9456,2345.2,5.81,8.35,6.8,11.67,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0074,11.0466,2.7983,21.9052,2.3989,1.6757,1.9298,1.5966,0.0404,3.6531,0.0182,1.8799,50.1844,0.8728,2398.3,6.37,8.6,8.5,11.71,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0075,13.6464,2.3651,23.5005,2.7748,1.7704,1.8348,1.765,0.0351,3.4512,0.0179,1.4956,46.417,0.9261,2930.2,6.13,9.23,11.4,11.82,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0076,14.5468,3.0153,21.1819,2.2473,1.6462,1.8203,2.0125,0.0366,3.2637,0.0183,1.7797,47.6558,0.7756,2848.5,6.39,8.99,10.4,11.98,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0077,14.3007,3.5786,18.2594,3.2222,2.0061,1.6528,1.7856,0.0404,3.3051,0.0195,1.8112,49.1982,0.8201,2355.8,6.44,8.4,6.1,11.94,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0078,15.7703,2.8521,22.7832,2.7283,2.2424,1.9082,1.9229,0.0351,4.2479,0.0206,1.7879,42.6725,1.0285,2777,6.42,8.55,8.6,11.98,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0079,12.9553,2.6875,22.0849,2.7125,2.2214,1.887,2.1691,0.0357,3.5456,0.0167,2.028,46.5806,1.0759,2447.8,6.28,8.58,8.6,11.84,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0080,15.0504,2.9902,26.1201,3.003,1.9269,1.6512,1.5962,0.0418,3.8432,0.0202,1.8463,41.0865,0.8239,3059.4,6.33,9.14,9.1,11.81,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0081,10.8306,2.6564,21.8679,3.3663,1.9431,2.0326,1.7584,0.0359,3.9877,0.0205,2.1221,48.288,1.0904,1912.2,6.16,8.11,6.8,11.64,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0082,10.708,1.4057,29.4781,2.6458,1.9751,2.0458,2.0958,0.0402,3.3704,0.0187,1.9862,43.2866,0.9436,2391.9,6.29,8.66,9.8,11.57,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0083,15.1131,1.1797,18.4344,2.4359,1.918,1.9567,1.5836,0.0417,3.1898,0.0187,1.9581,51.1899,0.9804,2577,6,8.41,9.3,12.25,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0084,14.1816,1.8332,22.0574,2.5929,1.8341,1.4997,1.4888,0.0317,3.0797,0.0191,1.5705,48.9957,0.8155,2822.8,6.12,9.2,13.1,11.96,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0085,13.9113,2.9332,19.978,3.3198,2.2008,2.0133,1.7527,0.0406,3.3583,0.0166,1.7863,47.6195,1.0696,2512.4,5.95,8.6,8,11.89,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0086,13.0957,3.9969,18.6629,3.3631,2.0673,1.9825,2.1561,0.0402,4.4918,0.0226,1.9722,47.1108,1.0378,2143.7,6.33,8.35,8.6,11.81,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0087,14.9,3.4967,19.0968,2.6185,2.1629,1.7135,2.0963,0.0378,3.5024,0.0211,1.8638,47.5827,0.9074,2513.1,6.53,8.23,7.7,12.02,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0088,12.0305,2.8248,21.8395,3.2368,1.7734,2.2753,1.9666,0.0367,3.4782,0.018,2.0061,47.4186,1.0955,2179.3,6.51,7.92,7.7,11.72,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0089,12.3827,1.2779,20.142,3.5093,2.2919,2.168,2.4102,0.0477,4.4811,0.0243,1.9918,48.2564,1.0168,1885.7,5.92,7.86,5.5,11.88,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0090,15.981,1.5321,22.0325,2.3667,1.6364,2.0965,2.0847,0.0312,4.1548,0.0191,2.0314,45.1147,0.919,2749.9,6.26,9.49,10.6,12.15,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0091,10.2448,2.5488,26.143,2.3238,1.8554,1.7343,1.9589,0.0319,3.7321,0.0194,1.9994,46.5269,0.8813,2520.9,6.12,9.15,10.7,11.57,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0092,14.6026,2.4643,21.8593,2.2967,1.7537,1.6206,1.7498,0.0295,3.5063,0.0192,1.447,47.8375,0.8136,2923.8,6.62,9.29,11.6,11.97,Needs Evaluation,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0093,16.9271,1.9624,21.7943,3.1321,2.1717,2.1446,2.1658,0.039,4.3554,0.0176,2.0147,42.3336,0.9418,2573.5,5.95,8.5,10.3,12.12,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0094,13.1107,1.358,21.6869,2.6575,1.6825,1.9894,2.0269,0.04,3.8168,0.0186,2.1398,48.5142,0.9587,2365.1,6.17,8.17,10.2,11.97,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0095,12.5778,2.7085,23.4879,2.7048,1.9238,1.4479,1.538,0.0288,3.5347,0.0189,1.5622,47.7322,0.7346,2873.4,6.3,9.06,9.3,11.74,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0096,12.5052,1.6273,22.4989,3.3952,2.0992,1.9574,2.1435,0.0442,3.8666,0.0202,1.8395,46.9091,1.0938,2143.7,5.89,8.26,8.2,11.79,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0097,12.3241,1.2481,25.0535,2.5305,1.851,1.7209,1.4632,0.0353,3.8499,0.0175,1.8577,47.2697,0.7785,2831.5,6.18,9.35,10.9,11.8,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0098,16.0964,1.686,19.5049,3.0438,1.7452,2.0528,1.8288,0.0393,3.2891,0.0194,1.8446,48.0071,0.8426,2630.9,6.05,8.84,9.5,12.17,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
F0099,9.8509,2.6903,24.4459,2.9411,1.7781,1.8703,1.9884,0.0386,4.4332,0.0172,2.0468,46.953,0.946,2061.1,6.24,8.59,8.3,11.52,Stable,Simulated (based on journal's BBD model),"10.55248/gengpi.4.1223.123318 (simulated, derived design space)"
