row_id,Ingredient_id,ingredient_name,formulation_dataset_column,grade,supplier_id,supplier,supplier_location,halal_certification_body,price_per_g,currency,stock,lead_time_days,moq_gram,supplier_halal_certificate,evidence_doi,key
SRC-0032,ING-008,Mineral oil,mineral_oil,Pharma,SUP-06,Petro - Canada Lubricants,Import - Kanada,IFANCA (Islamic Food and Nutrition Council of America),50,IDR,available,4,500,Yes,https://doi.org/10.3390/cosmetics7020043,ING-008|SUP-06
SRC-0033,ING-008,Mineral oil,mineral_oil,Pharma,SUP-02,CV Aneka Bahan Kosmetika,Domestic - Surabaya,,43.2,IDR,available,10,250,No,https://doi.org/10.3390/cosmetics7020043,ING-008|SUP-02
SRC-0034,ING-009,Glyceryl stearate,glyceryl_stearate,Cosmetic,SUP-03,Ecogreen Oleochemicals,Domestic - Batam,LPPOM MUI,180,IDR,available,6,500,Yes,https://doi.org/10.3390/cosmetics7020043,ING-009|SUP-03
SRC-0035,ING-009,Glyceryl stearate,glyceryl_stearate,Cosmetic,SUP-05,KLK Oleo,Import - Malaysia,JAKIM (Jabatan Kemajuan Islam Malaysia),145,IDR,available,39,25000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-009|SUP-05
SRC-0036,ING-009,Glyceryl stearate,glyceryl_stearate,Cosmetic,SUP-02,Croda International,Import - Singapore,MUIS (Majelis Ugama Islam Singapura),175,IDR,available,6,500,Yes,https://doi.org/10.3390/cosmetics7020043,ING-009|SUP-02
SRC-0037,ING-009,Glyceryl stearate,glyceryl_stearate,Cosmetic,SUP-06,Croda International,Import - Inggris,Instituto Halal de la Junta Islámica,230,IDR,available,4,25000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-009|SUP-06
SRC-0038,ING-010,PEG-100 stearate,peg100_stearate,Cosmetic,SUP-01,Croda International,Import - Singapore,MUIS (Majelis Ugama Islam Singapura),200,IDR,available,3,500,Yes,https://doi.org/10.3390/cosmetics7020043,ING-010|SUP-01
SRC-0039,ING-010,PEG-100 stearate,peg100_stearate,Cosmetic,SUP-06,Croda International,Import - Inggris,Instituto Halal de la Junta Islámica,220,IDR,available,5,500,Yes,https://doi.org/10.3390/cosmetics7020043,ING-010|SUP-06
SRC-0040,ING-010,PEG-100 stearate,peg100_stearate,Cosmetic,SUP-03,PT Halal Ingredients Indonesia,Domestic - Bandung,,265,IDR,available,6,25000,No,https://doi.org/10.3390/cosmetics7020043,ING-010|SUP-03
SRC-0041,ING-010,PEG-100 stearate,peg100_stearate,Cosmetic,SUP-02,CV Aneka Bahan Kosmetika,Domestic - Surabaya,,270,IDR,available,7,1000,No,https://doi.org/10.3390/cosmetics7020043,ING-010|SUP-02
SRC-0042,ING-011,Almond oil,almond_oil,Cosmetic,SUP-02,"PT Gunanusa Eramandiri, Tbk",Domestic - Bekasi,LPPOM MUI,520,IDR,available,5,25000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-011|SUP-02
SRC-0043,ING-011,Almond oil,almond_oil,Cosmetic,SUP-04,PT Adev Natural Indonesia,Domestic - Bogor,LPPOM MUI,435,IDR,available,20,250,Yes,https://doi.org/10.3390/cosmetics7020043,ING-011|SUP-04
SRC-0044,ING-011,Almond oil,almond_oil,Cosmetic,SUP-03,Blue Diamond Grower,Import - United States,IFANCA (Islamic Food and Nutrition Council of America),715,IDR,unavailable,23,250,Yes,https://doi.org/10.3390/cosmetics7020043,ING-011|SUP-03
SRC-0045,ING-011,Almond oil,almond_oil,Cosmetic,SUP-06,PT Distribusi Farmasi Utama,Domestic - Semarang,,555,IDR,available,3,25000,No,https://doi.org/10.3390/cosmetics7020043,ING-011|SUP-06
SRC-0046,ING-012,Cetyl alcohol,cetyl_alcohol,Pharma,SUP-04,Ecogreen Oleochemicals,Domestic - Batam,LPPOM MUI,90,IDR,unavailable,29,1000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-012|SUP-04
SRC-0047,ING-012,Cetyl alcohol,cetyl_alcohol,Pharma,SUP-05,Musim Mas Group,Domestic - Medan,LPPOM MUI,90,IDR,unavailable,45,250,Yes,https://doi.org/10.3390/cosmetics7020043,ING-012|SUP-05
SRC-0048,ING-012,Cetyl alcohol,cetyl_alcohol,Pharma,SUP-01,PT SMART Tbk,Domestic - Jakarta,LPPOM MUI/BPJPH,115,IDR,available,5,500,Yes,https://doi.org/10.3390/cosmetics7020043,ING-012|SUP-01
SRC-0049,ING-012,Cetyl alcohol,cetyl_alcohol,Pharma,SUP-03,KLK Oleo,Import - Malaysia,JAKIM (Jabatan Kemajuan Islam Malaysia),125,IDR,unavailable,24,500,Yes,https://doi.org/10.3390/cosmetics7020043,ING-012|SUP-03
SRC-0050,ING-012,Cetyl alcohol,cetyl_alcohol,Pharma,SUP-06,PT Distribusi Farmasi Utama,Domestic - Semarang,,130,IDR,available,5,500,No,https://doi.org/10.3390/cosmetics7020043,ING-012|SUP-06
SRC-0051,ING-013,Dimethicone,dimethicone,Cosmetic,SUP-01,Dow Silicones Corporation,Import - United States,IFANCA (Islamic Food and Nutrition Council of America),340,IDR,available,5,25000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-013|SUP-01
SRC-0052,ING-013,Dimethicone,dimethicone,Cosmetic,SUP-04,Wacker Chemie AG,Import - Germany,Halal Quality Control (HQC),350,IDR,available,15,1000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-013|SUP-04
SRC-0053,ING-013,Dimethicone,dimethicone,Cosmetic,SUP-05,Shandong Fine Chemical Co.,Import - China,,230,IDR,available,13,25000,No,https://doi.org/10.3390/cosmetics7020043,ING-013|SUP-05
SRC-0054,ING-014,Dimethiconol,dimethiconol,Cosmetic,SUP-04,Global Chemtrade Pte Ltd,Import - Singapore,,465,IDR,available,32,1000,No,https://doi.org/10.3390/cosmetics7020043,ING-014|SUP-04
SRC-0055,ING-014,Dimethiconol,dimethiconol,Cosmetic,SUP-05,Shandong Fine Chemical Co.,Import - China,,400,IDR,unavailable,65,5000,No,https://doi.org/10.3390/cosmetics7020043,ING-014|SUP-05
SRC-0056,ING-014,Dimethiconol,dimethiconol,Cosmetic,SUP-06,PT Distribusi Farmasi Utama,Domestic - Semarang,,675,IDR,available,3,1000,No,https://doi.org/10.3390/cosmetics7020043,ING-014|SUP-06
SRC-0057,ING-014,Dimethiconol,dimethiconol,Cosmetic,SUP-02,CV Aneka Bahan Kosmetika,Domestic - Surabaya,,615,IDR,available,3,500,No,https://doi.org/10.3390/cosmetics7020043,ING-014|SUP-02
SRC-0058,ING-015,Alpha tocopherol,alpha_tocopherol,Pharma,SUP-03,BASF SE,Import - Germany,Halal Quality Control (HQC),2420,IDR,available,9,5000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-015|SUP-03
SRC-0059,ING-015,Alpha tocopherol,alpha_tocopherol,Pharma,SUP-02,DSM Nutritional Products,Import - Swiss,Halal Food Council of Europe (HFCE),2200,IDR,available,10,5000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-015|SUP-02
SRC-0060,ING-015,Alpha tocopherol,alpha_tocopherol,Pharma,SUP-01,PT Kimia Sejahtera Nusantara,Domestic - Jakarta,,1520,IDR,available,4,500,No,https://doi.org/10.3390/cosmetics7020043,ING-015|SUP-01
SRC-0061,ING-016,Phenoxyethanol,phenoxyethanol_ehg,Cosmetic,SUP-01,Schülke & Mayr,Import - Germany,Halal Control GmbH,440,IDR,available,4,5000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-016|SUP-01
SRC-0062,ING-016,Phenoxyethanol,phenoxyethanol_ehg,Cosmetic,SUP-05,Shandong Fine Chemical Co.,Import - China,,340,IDR,available,17,5000,No,https://doi.org/10.3390/cosmetics7020043,ING-016|SUP-05
SRC-0063,ING-016,Phenoxyethanol,phenoxyethanol_ehg,Cosmetic,SUP-03,PT Halal Ingredients Indonesia,Domestic - Bandung,,440,IDR,available,8,5000,No,https://doi.org/10.3390/cosmetics7020043,ING-016|SUP-03
SRC-0064,ING-016,Phenoxyethanol,phenoxyethanol_ehg,Cosmetic,SUP-04,Global Chemtrade Pte Ltd,Import - Singapore,,365,IDR,available,11,25000,No,https://doi.org/10.3390/cosmetics7020043,ING-016|SUP-04
SRC-0065,ING-017,Sodium hydroxide (NaOH),sodium_hydroxide,Technical,SUP-03,PT Asahimas Chemical,Domestic - Jakarta,LPPOM MUI,65,IDR,available,5,5000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-017|SUP-03
SRC-0066,ING-017,Sodium hydroxide (NaOH),sodium_hydroxide,Technical,SUP-02,PT Tjiwi Kimia Tbk,Domestic - Jakarta,LPPOM MUI,60,IDR,unavailable,33,1000,Yes,https://doi.org/10.3390/cosmetics7020043,ING-017|SUP-02
SRC-0067,ING-017,Sodium hydroxide (NaOH),sodium_hydroxide,Technical,SUP-01,PT Kimia Sejahtera Nusantara,Domestic - Jakarta,,50,IDR,available,5,500,No,https://doi.org/10.3390/cosmetics7020043,ING-017|SUP-01
SRC-0068,ING-017,Sodium hydroxide (NaOH),sodium_hydroxide,Technical,SUP-05,Shandong Fine Chemical Co.,Import - China,,50,IDR,unavailable,52,500,No,https://doi.org/10.3390/cosmetics7020043,ING-017|SUP-05
SRC-0069,ING-018,Stearic acid,stearic_acid,Cosmetic,SUP-06,Ecogreen Oleochemicals,Domestic - Batam,LPPOM MUI,75,IDR,available,4,1000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-018|SUP-06
SRC-0070,ING-018,Stearic acid,stearic_acid,Cosmetic,SUP-03,Musim Mas Group,Domestic - Medan,LPPOM MUI,60,IDR,available,8,25000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-018|SUP-03
SRC-0071,ING-018,Stearic acid,stearic_acid,Cosmetic,SUP-01,KLK Oleo,Import - Malaysia,JAKIM (Jabatan Kemajuan Islam Malaysia),55,IDR,available,4,1000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-018|SUP-01
SRC-0072,ING-019,Beeswax,beeswax,Cosmetic,SUP-02,Koster Keunen Inc.,Import - United States,ISA (Islamic Services of America),230,IDR,available,5,5000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-019|SUP-02
SRC-0073,ING-019,Beeswax,beeswax,Cosmetic,SUP-05,Strahl & Pitsch Inc.,Import - United States,IFANCA (Islamic Food and Nutrition Council of America),200,IDR,unavailable,76,500,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-019|SUP-05
SRC-0074,ING-019,Beeswax,beeswax,Cosmetic,SUP-03,PT Halal Ingredients Indonesia,Domestic - Bandung,,330,IDR,available,5,1000,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-019|SUP-03
SRC-0075,ING-020,Liquid Paraffin,Liquid Paraffin,Pharma,SUP-06,Sonneborn LLC,Import - United States,IFANCA (Islamic Food and Nutrition Council of America),47.1,IDR,available,4,1000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-020|SUP-06
SRC-0076,ING-020,Liquid Paraffin,liquid_paraffin,Pharma,SUP-01,Petro-Canada Lubricants,Import - Kanada,IFANCA (Islamic Food and Nutrition Council of America),40.1,IDR,available,5,5000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-020|SUP-01
SRC-0077,ING-020,Liquid Paraffin,liquid_paraffin,Pharma,SUP-04,Global Chemtrade Pte Ltd,Import - Singapore,,32.6,IDR,available,25,1000,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-020|SUP-04
SRC-0078,ING-020,Liquid Paraffin,liquid_paraffin,Pharma,SUP-02,CV Aneka Bahan Kosmetika,Domestic - Surabaya,,43.7,IDR,available,7,25000,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-020|SUP-02
SRC-0079,ING-021,Lanolin,lanolin,Pharma,SUP-05,Croda International,Import - Singapore,MUIS (Majelis Ugama Islam Singapura),335,IDR,available,26,1000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-021|SUP-05
SRC-0080,ING-021,Lanolin,lanolin,Pharma,SUP-01,Croda International,Import - Inggris,Instituto Halal de la Junta Islámica,410,IDR,unavailable,15,500,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-021|SUP-01
SRC-0081,ING-021,Lanolin,lanolin,Pharma,SUP-02,CV Aneka Bahan Kosmetika,Domestic - Surabaya,,365,IDR,available,8,1000,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-021|SUP-02
SRC-0082,ING-022,Triethanolamine,triethanolamine,Cosmetic,SUP-06,The Dow Chemical Company,Import - United States,IFANCA (Islamic Food and Nutrition Council of America),120,IDR,available,2,5000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-022|SUP-06
SRC-0083,ING-022,Triethanolamine,triethanolamine,Cosmetic,SUP-03,PETRONAS Chemicals Group Berhad,Import - Malaysia,JAKIM (Jabatan Kemajuan Islam Malaysia),125,IDR,available,8,25000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-022|SUP-03
SRC-0084,ING-022,Triethanolamine,triethanolamine,Cosmetic,SUP-04,Global Chemtrade Pte Ltd,Import - Singapore,,120,IDR,unavailable,28,1000,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-022|SUP-04
SRC-0085,ING-022,Triethanolamine,triethanolamine,Cosmetic,SUP-01,PT Kimia Sejahtera Nusantara,Domestic - Jakarta,,115,IDR,unavailable,18,250,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-022|SUP-01
SRC-0086,ING-023,Sorbitol,sorbitol,Pharma,SUP-06,PT Sorini Agro Asia Corporindo Tbk,Domestic - Pasuruan,LPPOM MUI,33,IDR,available,3,500,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-023|SUP-06
SRC-0087,ING-023,Sorbitol,sorbitol,Pharma,SUP-04,Roquette Frères,Import - Prancis,Halal Food Council of Europe (HFCE),30.8,IDR,unavailable,47,500,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-023|SUP-04
SRC-0088,ING-023,Sorbitol,sorbitol,Pharma,SUP-01,PT Kimia Sejahtera Nusantara,Domestic - Jakarta,,32.5,IDR,unavailable,19,500,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-023|SUP-01
SRC-0089,ING-023,Sorbitol,sorbitol,Pharma,SUP-05,Shandong Fine Chemical Co.,Import - China,,24.2,IDR,available,39,500,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-023|SUP-05
SRC-0090,ING-023,Sorbitol,sorbitol,Pharma,SUP-03,PT Halal Ingredients Indonesia,Domestic - Bandung,,31.5,IDR,available,9,250,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-023|SUP-03
SRC-0091,ING-024,Methylparaben,methylparaben,Pharma,SUP-05,Clariant AG,Import - Germany,Halal Quality Control (HQC),185,IDR,available,26,25000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-024|SUP-05
SRC-0092,ING-024,Methylparaben,methylparaben,Pharma,SUP-02,"Zhejiang Shengxiao Chemicals Co., Ltd.",Import - China,ARA Halal Certification SErvices Center,275,IDR,available,4,250,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-024|SUP-02
SRC-0093,ING-024,Methylparaben,methylparaben,Pharma,SUP-04,Global Chemtrade Pte Ltd,Import - Singapore,,205,IDR,available,15,1000,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-024|SUP-04
SRC-0094,ING-024,Methylparaben,methylparaben,Pharma,SUP-01,PT Kimia Sejahtera Nusantara,Domestic - Jakarta,,245,IDR,available,5,500,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-024|SUP-01
SRC-0095,ING-024,Methylparaben,methylparaben,Pharma,SUP-03,PT Halal Ingredients Indonesia,Domestic - Bandung,,325,IDR,available,7,500,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-024|SUP-03
SRC-0096,ING-025,Propylparaben,propylparaben,Pharma,SUP-02,Clariant AG,Import - Germany,Halal Quality Control (HQC),370,IDR,available,3,500,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-025|SUP-02
SRC-0097,ING-025,Propylparaben,propylparaben,Pharma,SUP-04,"Wuhan Organics Co., Ltd.",Import - China,ARA Halal Certification SErvices Center,265,IDR,available,18,1000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-025|SUP-04
SRC-0098,ING-025,Propylparaben,propylparaben,Pharma,SUP-03,PT Halal Ingredients Indonesia,Domestic - Bandung,,395,IDR,available,6,25000,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-025|SUP-03
SRC-0099,ING-026,Tween 80,tween_80,Pharma,SUP-04,PT Kao Indonesia Chemicals,Domestic - Bekasi,LPPOM MUI,80,IDR,unavailable,33,500,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-026|SUP-04
SRC-0100,ING-026,Tween 80,tween_80,Pharma,SUP-06,Croda International Plc,Import - Inggris,Halal Quality Control (HQC),100,IDR,available,2,1000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-026|SUP-06
SRC-0101,ING-026,Tween 80,tween_80,Pharma,SUP-03,PT Halal Ingredients Indonesia,Domestic - Bandung,,115,IDR,available,5,500,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-026|SUP-03
SRC-0102,ING-027,Perfume,perfume,Cosmetic,SUP-01,Symrise AG (Singapura),Import - Singapore,-,1110,IDR,available,5,25000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-027|SUP-01
SRC-0103,ING-027,Perfume,perfume,Cosmetic,SUP-05,Symrise AG (Jerman),Import - Germany,-,880,IDR,available,29,1000,Yes,https://doi.org/10.55248/gengpi.4.1223.123318,ING-027|SUP-05
SRC-0104,ING-027,Perfume,perfume,Cosmetic,SUP-02,CV Aneka Bahan Kosmetika,Domestic - Surabaya,,1095,IDR,available,4,1000,No,https://doi.org/10.55248/gengpi.4.1223.123318,ING-027|SUP-02
